from,to,flow_m3s,length_m,slope,required_diameter_m,full_capacity_m3s,design_capacity_m3s,is_river,velocity_m_s,capacity_factor,effective_capacity_m3s,P_clog,flooding,overflow_m3s
0,1,1.701180334191165,310401.35526064865,0.002,1.2,1.9440834390975836,2.0676139636978466,False,1.5041736626513686,1.0,2.0676139636978466,0.0,False,0.0
2,3,11.100638442025264,9161.64342184545,0.003056220233723,2.4,12.938377676493376,13.1285303241524,False,2.453779832672551,1.0,13.1285303241524,0.0,False,0.0
3,13,15.82316236220624,3949.383007435788,0.002,3.0,17.506842555993128,23.80360927903615,False,2.2385195602584482,1.0,23.80360927903615,0.0,False,0.0
4,5,7.863208598844253,3002.078505067748,0.0026648203857745,1.8,9.530369354977086,6.096016689645687,False,3.0900457211574297,1.0,6.096016689645687,0.0,True,1.7671919091985657
5,61,7.881687560318554,38.24238319902656,0.002,1.8,9.32055086716026,6.096016689645687,False,3.0973074941496264,1.0,6.096016689645687,0.0,True,1.7856708706728668
6,7,21.44961771494216,5036.040357086623,0.0039713740522067,3.0,24.66966347213288,23.80360927903615,False,3.0345001660129154,1.0,23.80360927903615,0.0,False,0.0
8,9,5.658287560876222,1500.2983592414694,0.002,1.8,6.363760544274278,6.096016689645687,False,2.2235665055526774,1.0,6.096016689645687,0.0,False,0.0
14,15,26.081558842313605,5961.341788056902,0.006038908903382,3.0,30.420900623064377,26.159958457947553,False,3.689785789596748,1.0,26.159958457947553,0.0,False,0.0
16,17,8.516587324690548,736.6302349239796,0.0135753319995506,2.4,10.619537817782549,21.63248141287043,False,1.8825791263865017,1.0,21.63248141287043,0.0,False,0.0
19,18,0.0026731644597112,753.5739400813693,0.0026540195906775,0.45,0.007845764855526,0.15120036415561355,False,0.016807796047826694,0.56260584703587,0.08506620894790097,0.43739415296413,False,0.0
19,133,0.1818684777439256,11.076284903128832,0.002,0.6,0.2177318877698155,0.3256287944899364,False,0.6432281605676469,1.0,0.3256287944899364,0.0,False,0.0
20,21,8.17888229830039,8931.874654408506,0.002,2.4,9.32055086716026,13.1285303241524,False,1.8079299260295956,1.0,13.1285303241524,0.0,False,0.0
21,421,9.880062632491557,38.794350385701485,0.002,2.4,11.696728903038364,13.1285303241524,False,2.183973341692438,1.0,13.1285303241524,0.0,False,0.0
22,23,14.06515046081444,5753.190592057659,0.0027810655225099,2.4,17.003349270243376,13.1285303241524,False,3.109080862735927,1.0,13.1285303241524,0.0,True,0.9366201366620395
23,208,22.16612792360528,318.75701029131073,0.002,3.0,24.84909035740447,23.80360927903615,False,3.135865625110285,1.0,23.80360927903615,0.0,False,0.0
24,25,0.1928326182115032,2021.5586579863025,0.002,0.6,0.2177318877698155,0.3256287944899364,False,0.6820058750602882,1.0,0.3256287944899364,0.0,False,0.0
24,52,0.913745921703502,426.6201792297832,0.0093760215637749,0.9,1.0779845487941813,1.3146912994941287,False,1.4363178288313314,1.0,1.3146912994941287,0.0,False,0.0
24,220,0.5946017942761599,655.6025438204117,0.006101257595327,0.9,0.8695867582949041,1.0605329608521985,False,0.9346549602998625,1.0,1.0605329608521985,0.0,False,0.0
25,139,2.705958925220985,381.52059170028497,0.0157265430242189,1.2,3.424479988882973,3.666917068975926,False,2.392592993069734,1.0,3.666917068975926,0.0,False,0.0
26,27,11.418567635253511,1320.9202071752998,0.0181691519818009,2.4,14.372820227405374,25.026403265181063,False,2.5240576141385147,1.0,25.026403265181063,0.0,False,0.0
29,28,0.2481579626844113,10711.92041625404,0.0434095831494807,0.6,0.3039117286559436,0.9594682478232939,False,0.8776792539741815,1.0,0.9594682478232939,0.0,False,0.0
31,30,37.949238403952656,6608.340160346017,0.002,3.0,41.8036100260249,23.80360927903615,False,5.368719003166093,1.0,23.80360927903615,0.0,True,14.145629124916507
32,33,3.4168368576792454,760.0176403795692,0.002,1.8,4.076105197612911,6.096016689645687,False,1.3427320386129153,1.0,6.096016689645687,0.0,False,0.0
35,34,1.669097725412098,326.96732259950227,0.0672850113127283,1.2,1.9716719172209924,7.584791017469002,False,1.4758064083487468,1.0,7.584791017469002,0.0,False,0.0
36,37,2.5867728068928084,2287.654865217218,0.0034970310083205,1.2,3.1563100569169222,2.0676139636978466,False,2.2872093270704847,1.0,2.0676139636978466,0.0,True,0.5191588431949619
37,230,3.050748809663832,25.546595692148788,0.002,1.8,3.4501612604449168,6.096016689645687,False,1.198868526394357,1.0,6.096016689645687,0.0,False,0.0
38,39,12.321237908524491,254.6164762339414,0.002,2.4,14.419289559924506,13.1285303241524,False,2.723591552990165,1.0,13.1285303241524,0.0,False,0.0
40,41,0.7077980114524057,1522.2282871173838,0.0032846584459867,0.9,0.8908449277138928,0.9600624684743828,False,1.1125881702050795,1.0,0.9600624684743828,0.0,False,0.0
42,43,27.58340152318224,1135.4723831558356,0.0026420721846726,3.0,30.96456807350974,23.80360927903615,False,3.902253066402639,1.0,23.80360927903615,0.0,True,3.7797922441460905
45,46,4.496766674002225,8.196797017945935,0.002,1.8,5.53026753864818,6.096016689645687,False,1.767117639749026,1.0,6.096016689645687,0.0,False,0.0
46,48,6.19794700819339,1013.7197545315452,0.003945863718369,1.8,7.767874219799852,6.096016689645687,False,2.4356392675940786,1.0,6.096016689645687,0.0,True,0.10193031854770318
47,45,2.79558633981106,304.64275104439326,0.002,1.2,3.4501612604449168,2.0676139636978466,False,2.47184102678394,1.0,2.0676139636978466,0.0,True,0.7279723761132133
48,53,14.140132259023035,24.403002191376583,0.002,2.4,15.916297550337834,13.1285303241524,False,3.125655479162062,1.0,13.1285303241524,0.0,True,1.0116019348706349
49,47,1.9651103138366144,8.70610971050337,0.002,1.2,2.3869587580964207,2.0676139636978466,False,1.7375390009331275,1.0,2.0676139636978466,0.0,False,0.0
51,50,1.2851622205627922,937.2218102705518,0.0021339665574178,1.2,1.6077847819603908,2.0676139636978466,False,1.1363328893195834,1.0,2.0676139636978466,0.0,False,0.0
51,49,0.2639299796454495,4563.642464812918,0.0039442178345007,0.6,0.3057647992560737,0.3256287944899364,False,0.9334613531270358,1.0,0.3256287944899364,0.0,False,0.0
53,54,15.841312593214202,298.74430117993256,0.002,3.0,17.506842555993128,23.80360927903615,False,2.241087292687939,1.0,23.80360927903615,0.0,False,0.0
54,52,16.07836597166727,15.498922651812745,0.002,3.0,19.193178777357048,23.80360927903615,False,2.2746234855389966,1.0,23.80360927903615,0.0,False,0.0
56,55,0.6285300461719396,210.35954554050628,0.0760602517888549,0.9,0.7862948858133908,3.744495986692174,False,0.9879868022720137,1.0,3.744495986692174,0.0,False,0.0
57,58,21.964068498788688,43.9613789100879,0.002,3.0,24.84909035740447,23.80360927903615,False,3.107280063992182,1.0,23.80360927903615,0.0,False,0.0
58,59,25.387330619431022,935.4310003239108,0.002,3.0,29.13885302285157,23.80360927903615,False,3.591572586658379,1.0,23.80360927903615,0.0,True,1.5837213403948738
60,57,12.094211769704136,3401.6339017444734,0.0055855511053838,2.4,13.797766025807862,13.875994669996945,False,2.673407758261934,1.0,13.875994669996945,0.0,False,0.0
61,62,9.58286789450972,531.5042236934522,0.0188145259326623,2.4,10.582079905922578,25.466997720421666,False,2.1182788811220075,1.0,25.466997720421666,0.0,False,0.0
63,64,5.103541002573495,288.1927571381149,0.002,1.8,6.363760544274278,6.096016689645687,False,2.005564883535158,1.0,6.096016689645687,0.0,False,0.0
65,66,0.3368543042120527,806.2780652982722,0.002,0.9,0.4978726104885273,0.9600624684743828,False,0.5295015073296715,0.9765005024432238,0.9375014828421165,0.02349949755677616,False,0.0
66,69,2.038034638403218,158.56224014534502,0.002,1.2,2.3869587580964207,2.0676139636978466,False,1.8020182605243091,1.0,2.0676139636978466,0.0,False,0.0
67,68,0.4364966370618606,2311.29423865407,0.0108164506197004,0.9,0.5063483814952527,1.4120721123716353,False,0.6861293573470035,1.0,1.4120721123716353,0.0,False,0.0
69,70,2.366138866654447,19.537143819720896,0.002,1.2,2.888037791888825,2.0676139636978466,False,2.0921260926106124,1.0,2.0676139636978466,0.0,True,0.2985249029566006
71,72,0.1224880009973482,1055.9880587589698,0.0085228236487608,0.6,0.1346624167111626,0.42513763315722763,False,0.4332126850705105,0.8749095138028828,0.3719569599248984,0.12509048619711716,False,0.0
72,441,1.8236683351885128,11.655814851739494,0.002,1.2,2.3869587580964207,2.0676139636978466,False,1.6124768339189959,1.0,2.0676139636978466,0.0,False,0.0
73,74,8.914089464366686,303.9725686376074,0.002,2.4,10.466524604916064,13.1285303241524,False,1.970446390857422,1.0,13.1285303241524,0.0,False,0.0
